time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-28 00:00:00+00:00,0,0,85,4
2023-11-29 00:00:00+00:00,8,6,526,44
2023-11-30 00:00:00+00:00,2,2,206,34
2023-12-01 00:00:00+00:00,36,12,123,26
2023-12-02 00:00:00+00:00,215,14,177,19
2023-12-03 00:00:00+00:00,2,2,209,22
2023-12-04 00:00:00+00:00,18,9,187,25
2023-12-05 00:00:00+00:00,59,18,296,33
2023-12-06 00:00:00+00:00,5,5,174,23
2023-12-07 00:00:00+00:00,23,8,185,20
2023-12-08 00:00:00+00:00,10,6,80,26
2023-12-09 00:00:00+00:00,5,4,67,16
2023-12-10 00:00:00+00:00,37,13,177,11
2023-12-11 00:00:00+00:00,19,10,279,32
2023-12-12 00:00:00+00:00,35,16,602,26
2023-12-13 00:00:00+00:00,50,21,210,24
2023-12-14 00:00:00+00:00,29,14,156,16
2023-12-15 00:00:00+00:00,15,10,235,29
2023-12-16 00:00:00+00:00,107,35,468,52
2023-12-17 00:00:00+00:00,4,4,262,51
2023-12-18 00:00:00+00:00,6,6,243,41
2023-12-19 00:00:00+00:00,5,5,369,33
2023-12-20 00:00:00+00:00,28,14,123,23
2023-12-21 00:00:00+00:00,33,18,230,28
2023-12-22 00:00:00+00:00,13,9,205,35
2023-12-23 00:00:00+00:00,7,7,97,22
2023-12-24 00:00:00+00:00,50,15,162,57
2023-12-25 00:00:00+00:00,33,13,311,41
2023-12-26 00:00:00+00:00,70,25,111,23
2023-12-27 00:00:00+00:00,28,16,246,34
2023-12-28 00:00:00+00:00,3,3,175,22
2023-12-29 00:00:00+00:00,4,3,129,15
2023-12-30 00:00:00+00:00,28,13,170,17
2023-12-31 00:00:00+00:00,8,7,77,15
2024-01-01 00:00:00+00:00,43,18,231,20
2024-01-02 00:00:00+00:00,15,7,142,21
2024-01-03 00:00:00+00:00,4,3,195,29
2024-01-04 00:00:00+00:00,4,4,317,19
2024-01-05 00:00:00+00:00,1,1,20,10
2024-01-06 00:00:00+00:00,4,4,117,13
2024-01-07 00:00:00+00:00,4,4,174,14
2024-01-08 00:00:00+00:00,7,7,141,20
2024-01-09 00:00:00+00:00,9,8,188,26
2024-01-10 00:00:00+00:00,5,4,280,32
2024-01-11 00:00:00+00:00,13,8,181,27
2024-01-12 00:00:00+00:00,32,12,309,28
2024-01-13 00:00:00+00:00,33,16,514,24
2024-01-14 00:00:00+00:00,21,10,159,17
2024-01-15 00:00:00+00:00,10,9,187,22
2024-01-16 00:00:00+00:00,5,5,358,35
2024-01-17 00:00:00+00:00,3,3,185,25
2024-01-18 00:00:00+00:00,5,5,81,25
2024-01-19 00:00:00+00:00,2,2,314,19
2024-01-20 00:00:00+00:00,5,5,214,14
2024-01-21 00:00:00+00:00,1,1,133,12
2024-01-22 00:00:00+00:00,24,10,251,24
2024-01-23 00:00:00+00:00,71,23,472,31
2024-01-24 00:00:00+00:00,42,18,321,23
2024-01-25 00:00:00+00:00,25,10,216,23
2024-01-26 00:00:00+00:00,5,3,60,24
2024-01-27 00:00:00+00:00,20,10,163,19
2024-01-28 00:00:00+00:00,17,10,274,18
2024-01-29 00:00:00+00:00,46,17,249,20
2024-01-30 00:00:00+00:00,45,20,281,26
2024-01-31 00:00:00+00:00,5,5,304,22
2024-02-01 00:00:00+00:00,5,5,192,17
2024-02-02 00:00:00+00:00,77,30,366,20
2024-02-03 00:00:00+00:00,22,11,86,10
2024-02-04 00:00:00+00:00,23,12,99,12
2024-02-05 00:00:00+00:00,9,8,108,21
2024-02-06 00:00:00+00:00,5,5,130,19
2024-02-07 00:00:00+00:00,4,4,190,17
2024-02-08 00:00:00+00:00,13,8,480,163
2024-02-09 00:00:00+00:00,42,19,406,72
2024-02-10 00:00:00+00:00,6,6,145,31
2024-02-11 00:00:00+00:00,7,5,249,22
2024-02-12 00:00:00+00:00,6,5,277,21
2024-02-13 00:00:00+00:00,3,3,48,11
2024-02-14 00:00:00+00:00,10,8,248,46
2024-02-15 00:00:00+00:00,1,1,263,27
