time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-28 00:00:00+00:00,0,0,85,4
2023-11-29 00:00:00+00:00,8,6,526,44
2023-11-30 00:00:00+00:00,2,2,206,34
2023-12-01 00:00:00+00:00,36,12,123,26
2023-12-02 00:00:00+00:00,215,14,177,19
2023-12-03 00:00:00+00:00,2,2,209,22
2023-12-04 00:00:00+00:00,18,9,187,25
2023-12-05 00:00:00+00:00,59,18,296,33
2023-12-06 00:00:00+00:00,5,5,174,23
2023-12-07 00:00:00+00:00,23,8,185,20
2023-12-08 00:00:00+00:00,10,6,80,26
2023-12-09 00:00:00+00:00,5,4,67,16
2023-12-10 00:00:00+00:00,37,13,177,11
2023-12-11 00:00:00+00:00,19,10,279,32
2023-12-12 00:00:00+00:00,35,16,602,26
2023-12-13 00:00:00+00:00,50,21,210,24
2023-12-14 00:00:00+00:00,29,14,156,16
2023-12-15 00:00:00+00:00,15,10,235,29
2023-12-16 00:00:00+00:00,107,35,468,52
2023-12-17 00:00:00+00:00,4,4,262,51
2023-12-18 00:00:00+00:00,6,6,243,41
2023-12-19 00:00:00+00:00,5,5,369,33
2023-12-20 00:00:00+00:00,28,14,123,23
2023-12-21 00:00:00+00:00,33,18,230,28
2023-12-22 00:00:00+00:00,13,9,205,35
2023-12-23 00:00:00+00:00,7,7,97,22
2023-12-24 00:00:00+00:00,50,15,162,57
2023-12-25 00:00:00+00:00,33,13,311,41
2023-12-26 00:00:00+00:00,70,25,111,23
2023-12-27 00:00:00+00:00,28,16,246,34
2023-12-28 00:00:00+00:00,3,3,175,22
2023-12-29 00:00:00+00:00,4,3,129,15
2023-12-30 00:00:00+00:00,28,13,170,17
2023-12-31 00:00:00+00:00,8,7,77,15
2024-01-01 00:00:00+00:00,43,18,231,20
2024-01-02 00:00:00+00:00,15,7,142,21
2024-01-03 00:00:00+00:00,4,3,195,29
2024-01-04 00:00:00+00:00,4,4,317,19
2024-01-05 00:00:00+00:00,1,1,20,10
2024-01-06 00:00:00+00:00,4,4,117,13
2024-01-07 00:00:00+00:00,4,4,174,14
2024-01-08 00:00:00+00:00,7,7,141,20
2024-01-09 00:00:00+00:00,9,8,188,26
2024-01-10 00:00:00+00:00,5,4,280,32
2024-01-11 00:00:00+00:00,13,8,181,27
2024-01-12 00:00:00+00:00,32,12,309,28
2024-01-13 00:00:00+00:00,30,14,495,24
